Year,Month,Country,all_Northing,all_Easting,Lat,Lon
2021,Apr,JORDAN,"['2920N', '3230N', '3157N', '3111N', '3150N', '3019N', '3102N']","['3602E', '3812E', '3556E', '3543E', '3649E', '3610E', '73528E']",30.19,36.10
2021,Apr,SYRIA,"['3434N', '3434N', '3520N', '3242N', '3409N', '3331N', '3558N', '3612N', '3531N', '3307N']","['4056E', '4054E', '4007E', '3634E', '3645E', '3618E', '3802E', '3709E', '3547E', '3549E']",33.07,35.49
2021,Apr,LEBANON,"['3410N', '3416N', '3400N']","['3625E', '3625E', '3613E']",34.00,36.13
2021,Apr,IRAN,"['2854N', '3224N', '3021N']","['5050E', '4824E', '4817E']",30.21,48.17
2011,Aug,Algeria,['3011N'],['0214W'],30.11,-02.14
2011,Aug,Morocco,['3232N'],['0159W'],32.32,-01.59
2013,Aug,Niger,"['1809N', '1650N', '1421N', '1754N']","['0846E', '0550E', '0319E', '0559E']",14.21,03.19
2013,Aug,Algeria,"['2753N', '3135N', '2250N', '1937N']","['0017W', '0217W', '0528E', '0552E']",19.37,05.52
2014,Aug,Ethiopia,"['1123N', '0922N']","['4052E', '4250E']",09.22,42.50
2016,Aug,Egypt,"['2247N', '2219N', '2224N', '1045N', '1216N']","['3126E', '3138E', '3624E', '4234E', '4021E']",12.16,40.21
2016,Aug,Ethiopia,"['1045N', '1216N']","['4234E', '4021E']",12.16,40.21
2016,Aug,Pakistan,"['2548N', '2742N']","['6637E', '6854E']",27.42,68.54
2018,Aug,ALGERIA,"['2643N', '2916N', '2630N']","['0010E', '0014E', '0825E']",26.30,08.25
2019,Aug,MALI,"['1927N', '1649N']","['0052E', '0259W']",16.49,-02.59
2019,Aug,LIBYA,['2459N'],['1011E'],24.59,10.11
2019,Aug,SUDAN,"['1423N', '1554N', '1426N', '1803N', '1910N', '1527N', '1820N', '1932N']","['2906E', '3027E', '3112E', '3057E', '3027E', '3623E', '3621E', '3320E']",19.32,33.20
2019,Aug,ETHIOPIA,"['1111N', '0935N', '1150N']","['4001E', '4150E', '3936E']",11.50,39.36
2019,Aug,SAUDI ARABIA,"['2001N', '1729N', '1656N']","['4129E', '4408E', '4233E']",16.56,42.33
2019,Aug,YEMEN,"['1521N', '1335N', '1527N', '1452N', '1250N', '1405N', '1450N', '1600N', '1303N']","['4412E', '4401E', '4519E', '4545E', '4503E', '4542E', '4258E', '4312E', '4453E']",13.03,44.53
2019,Aug,PAKISTAN,['2450N'],['6702E'],24.50,67.02
2019,Aug,INDIA,"['2543N', '2652N', '2706N', '2801N', '2919N']","['7125E', '7055E', '7222E', '7322E', '7354E']",29.19,73.54
2020,Aug,ERITREA,"['1604N', '1536N', '1450N', '1451N', '1519N', '1640N', '1441N', '1301N']","['3725E', '3905E', '3951E', '3922E', '3856E', '3828E', '4057E', '4247E']",13.01,42.47
2020,Aug,ETHIOPIA,"['0935N', '1045N', '0922N', '1148N', '1108N', '1329N']","['4150E', '4234E', '4250E', '4100E', '3938E', '3928E']",13.29,39.28
2020,Aug,SOMALIA,"['0931N', '0956N', '1023N', '1058N', '1017N', '1040N', '0532N', '0646N']","['4402E', '4313E', '4425E', '4326E', '5014E', '4720E', '4623E', '4725E']",06.46,47.25
2020,Aug,KENYA,[],[],Missing,Missing
2020,Aug,SUDAN,"['0446N', '0440N', '0445N', '0425N']","['3335E', '3339E', '3339E', '3312E']",04.25,33.12
2020,Aug,SAUDI ARABIA,"['1729N', '1656N']","['4408E', '4233E']",16.56,42.33
2020,Aug,YEMEN,"['1610N', '1430N', '1608N', '1559N', '1542N', '1431N', '1521N', '1746N', '1416N', '1306N', '1333N', '1600N', '1410N']","['4446E', '4629E', '4714E', '4844E', '4817E', '4908E', '4412E', '5229E', '4735E', '4523E', '4644E', '4312E', '4318E']",14.10,43.18
2020,Aug,OMAN,"['1700N', '1736N', '2234N', '2415N']","['5405E', '5401E', '5930E', '5547E']",24.15,55.47
2020,Aug,PAKISTAN,"['2507N', '2421N', '2751N', '2548N']","['7015E', '7045E', '7048E', '6637E']",25.48,66.37
2020,Aug,INDIA,"['2818N', '2919N']","['7458E', '7354E']",29.19,73.54
2021,Aug,SOMALIA,"['0931N', '1023N', '1040N', '1017N', '0646N']","['4402E', '4425E', '4720E', '5014E', '4725E']",06.46,47.25
2021,Aug,SUDAN,"['1438N', '1426N', '1554N', '1734N', '1527N', '1910N', '1932N', '1803N', '1423N']","['2756E', '3112E', '3027E', '3358E', '3623E', '3027E', '3320E', '3057E', '2906E']",14.23,29.06
2010,Dec,Mauritania,"['2510N', '1932N', '1945N', '2003N']","['1135W', '1512W', '1421W', '1301W']",20.03,-13.01
2010,Dec,Mali,"['1827N', '1927N']","['0125E', '0052E']",19.27,00.52
2010,Dec,Algeria,"['2434N', '2630N', '2712N', '2753N', '3011N', '2741N']","['0930E', '0825E', '0229E', '0017W', '0214W', '0811W']",27.41,-08.11
2010,Dec,Yemen,"['1410N', '1458N', '1541N', '1600N']","['4318E', '4314E', '4300E', '4312E']",16.00,43.12
2010,Dec,Pakistan,"['2822N', '2548N', '2832N']","['7020E', '6637E', '6526E']",28.32,65.26
2012,Dec,Mauritania,"['2244N', '2510N', '1639N']","['1221W', '1135W', '0936W']",16.39,-09.36
2012,Dec,Niger,"['1519N', '1421N', '1522N']","['1312E', '0319E', '0621E']",15.22,06.21
2012,Dec,Algeria,"['2753N', '1937N', '1957N', '2434N', '2741N']","['0017W', '0552E', '0258E', '0930E', '0811W']",27.41,-08.11
2012,Dec,Morocco,"['2223N', '2508N', '2644N', '2826N', '2944N', '3019N', '3207N']","['1502W', '1222W', '1140W', '1106W', '0758W', '0550W', '0113W']",32.07,-01.13
2012,Dec,Sudan,"['1641N', '02N', '2054N', '1938N', '1906N', '1745N', '1827N']","['3322E', '3551E', '3709E', '3713E', '3719E', '3820E', '3741E']",18.27,37.41
2012,Dec,Egypt,"['2530N', '2630N', '2710N', '2219N', '2247N', '2359N']","['2900E', '2740E', '2818E', '3138E', '3126E', '3524E']",23.59,35.24
2012,Dec,Arabia,"['2247N', '2346N', '2405N', '2008N']","['3901E', '3847E', '3802E', '4016E']",20.08,40.16
2013,Dec,Mauritania,"['1945N', '2034N', '1932N', '2244N']","['1421W', '1531W', '1512W', '1221W']",22.44,-12.21
2013,Dec,Egypt,"['2359N', '2317N', '2912N', '3131N', '2002N', '1827N', '1745N']","['3524E', '3252E', '2531E', '2509E', '3551E', '3741E', '3820E']",17.45,38.20
2013,Dec,Eritrea,"['1548N', '1537N', '1454N', '1745N']","['3918E', '3928E', '4018E', '3820E']",17.45,38.20
2013,Dec,Arabia,"['2008N', '1909N', '1656N', '2001N', '1813N', '1729N']","['4016E', '4107E', '4233E', '4129E', '4230E', '4408E']",17.29,44.08
2013,Dec,Yemen,"['1541N', '1619N', '1450N', '1656N', '1302N']","['4300E', '4248E', '4258E', '4345E', '4434E']",13.02,44.34
2014,Dec,Sudan,"['1932N', '1527N', '1731N', '2034N', '1827N', '1906N', '1938N', '1753N', '2002N']","['3320E', '3623E', '3607E', '3701E', '3741E', '3719E', '3713E', '3819E', '3551E']",20.02,35.51
2014,Dec,Egypt,"['412N', '2219N', '8S', '2125N', '1909N', '2405N', '1656N']","['3438E', '3138E', '3949E', '4107E', '3802E', '4233E']",16.56,42.33
2014,Dec,Arabia,"['2125N', '1909N', '2405N', '1656N']","['3949E', '4107E', '3802E', '4233E']",16.56,42.33
2015,Dec,Mauritania,"['1827N', '1945N', '2003N', '1833N', '2056N', '2244N', '2510N', '2410N']","['1444W', '1421W', '1301W', '1126W', '1702W', '1221W', '1135W', '0952W']",24.10,-09.52
2015,Dec,Morocco,"['2233N', '2136N']","['1419W', '1628W']",21.36,-16.28
2016,Dec,Mauritania,"['2003N', '1945N', '1932N', '2027N', '2056N', '2244N', '2510N']","['1301W', '1421W', '1512W', '1221W', '1137W', '1221W', '1135W']",25.10,-11.35
2016,Dec,Morocco,['2136N'],['1628W'],21.36,-16.28
2016,Dec,Sudan,"['1827N', '1938N', '1745N', '1753N', '2002N', '1932N', '1641N', '1910N']","['3741E', '3713E', '3820E', '3819E', '3551E', '3320E', '3322E', '3027E']",19.10,30.27
2016,Dec,Eritrea,"['1553N', '1616N', '1745N']","['3906E', '3911E', '3820E', '8E']",17.45,38.20
2016,Dec,Arabia,"['2008N', '1909N', '1656N', '2130N', '2405N']","['4016E', '4107E', '4233E', '3910E', '3802E']",24.05,38.02
2016,Dec,Yemen,"['1541N', '1454N', '1410N', '1512N']","['4300E', '4312E', '4318E', '5115E']",15.12,51.15
