Year,Month,Country,T_area (ha)
2014,Jan,Yemen,678
2015,Jan,Eritrea,10247
2015,Jan,Saudi Arabia,7958
2015,Jan,Sudan,22676
2016,Jan,Mauritania,130
2016,Jan,Morocco,301
2017,Jan,Eritrea,276
2017,Jan,Mauritania,185
2017,Jan,Morocco,126
2017,Jan,Saudi Arabia,4242
2017,Jan,Sudan,100
2019,Jan,Egypt,1660
2019,Jan,Eritrea,6965
2019,Jan,Mauritania,100
2019,Jan,Saudi Arabia,12165
2019,Jan,Sudan,34028
2020,Jan,Egypt,1425
2020,Jan,Eritrea,15068
2020,Jan,Ethiopia,22550
2020,Jan,India,61178
2020,Jan,Iran,2041
2020,Jan,Kenya,20000
2020,Jan,Mauritania,32
2020,Jan,Oman,2128
2020,Jan,Pakistan,62295
2020,Jan,Somalia,15000
2020,Jan,Sudan,18714
2020,Jan,Yemen,15465
2021,Jan,Algeria,2
2021,Jan,Egypt,755
2021,Jan,Eritrea,2116
2021,Jan,Ethiopia,166158
2021,Jan,Kenya,39036
2021,Jan,Mauritania,40
2021,Jan,Somalia,53665
2021,Jan,Sudan,7122
2021,Jan,Tanzania,450
2010,Jul,Algeria,100
2011,Jul,Algeria,70
2011,Jul,Morocco,4428
2011,Jul,Pakistan,201
2012,Jul,Niger,50
2013,Jul,Algeria,15
2013,Jul,Morocco,796
2013,Jul,Saudi Arabia,760
2014,Jul,Eritrea,100
2014,Jul,Saudi Arabia,2180
2017,Jul,Algeria,3
2017,Jul,Iran,8500
2019,Jul,Algeria,115
2019,Jul,Egypt,4
2019,Jul,India,26764
2019,Jul,Iran,31307
2019,Jul,Oman,25
2019,Jul,Pakistan,7666
2019,Jul,Saudi Arabia,1300
2019,Jul,Sudan,1180
2019,Jul,Yemen,4605
2020,Jul,Afghanistan,304
2020,Jul,Ethiopia,79574
2020,Jul,India,102645
2020,Jul,Iran,1450
2020,Jul,Kenya,38769
2020,Jul,Oman,443
2020,Jul,Somalia,12569
2020,Jul,Sudan,235
2020,Jul,Uganda,3080
2020,Jul,Yemen,10718
2021,Jul,Djibouti,55
2021,Jul,Egypt,50
2021,Jul,Ethiopia,3788
2021,Jul,Morocco,30
2021,Jul,Somalia,27162
2021,Jul,Sudan,525
2010,Jun,Algeria,350
2010,Jun,Morocco,303
2010,Jun,Saudi Arabia,5
2011,Jun,Algeria,65
2011,Jun,Iran,3
2011,Jun,Morocco,153
2011,Jun,Pakistan,2905
2011,Jun,Saudi Arabia,900
2012,Jun,Algeria,987
2012,Jun,Niger,960
2013,Jun,Algeria,2592
2013,Jun,Egypt,1230
2013,Jun,Iran,510
2013,Jun,Libya,1990
2013,Jun,Morocco,3227
2013,Jun,Saudi Arabia,23990
2014,Jun,Algeria,22
2014,Jun,Ethiopia,1180
2014,Jun,Iran,11500
2014,Jun,Oman,56
2014,Jun,Saudi Arabia,17800
2014,Jun,Sudan,125
2016,Jun,Algeria,38
2016,Jun,Mauritania,375
2016,Jun,Yemen,365
2017,Jun,Algeria,70
2017,Jun,Iran,5500
2018,Jun,Algeria,581
2019,Jun,Algeria,399
2019,Jun,Egypt,604
2019,Jun,India,3991
2019,Jun,Iran,247270
2019,Jun,Pakistan,8684
2019,Jun,Saudi Arabia,39270
2019,Jun,Sudan,3700
2019,Jun,Yemen,5
2020,Jun,Afghanistan,2645
2020,Jun,Algeria,86
2020,Jun,Ethiopia,75219
2020,Jun,India,72109
2020,Jun,Iran,67689
2020,Jun,Kenya,18177
2020,Jun,Oman,126
2020,Jun,Pakistan,47198
2020,Jun,Somalia,19029
2020,Jun,Yemen,343
2021,Jun,Algeria,351
2021,Jun,Djibouti,10
2021,Jun,Ethiopia,6436
2021,Jun,Somalia,80330
2021,Jun,Sudan,330
2021,Jun,Yemen,5
2010,Mar,Saudi Arabia,153
2011,Mar,Algeria,290
2011,Mar,Egypt,2228
2011,Mar,Eritrea,720
2011,Mar,Mauritania,4768
2011,Mar,Morocco,314
2011,Mar,Saudi Arabia,20701
2011,Mar,Sudan,3740
2012,Mar,Algeria,1450
2012,Mar,Libya,3665
2013,Mar,Algeria,2910
2013,Mar,Egypt,10634
2013,Mar,Israel,2000
2013,Mar,Morocco,290
2013,Mar,Saudi Arabia,10939
2013,Mar,Sudan,44948
2014,Mar,Algeria,1
2014,Mar,Eritrea,160
2014,Mar,Ethiopia,190
2014,Mar,Oman,4
2014,Mar,Saudi Arabia,23277
2014,Mar,Sudan,4669
2014,Mar,Yemen,4
2015,Mar,Eritrea,1414
2015,Mar,Saudi Arabia,440
2015,Mar,Sudan,12451
2016,Mar,Mauritania,659
2016,Mar,Morocco,5095
2017,Mar,Morocco,20
2019,Mar,Egypt,4021
2019,Mar,Eritrea,7115
2019,Mar,Iran,100
2019,Mar,Pakistan,345
2019,Mar,Saudi Arabia,45705
2019,Mar,Sudan,25950
2020,Mar,Egypt,15
2020,Mar,Eritrea,5640
2020,Mar,Ethiopia,50350
2020,Mar,Iran,39676
2020,Mar,Iraq,1625
2020,Mar,Kenya,15278
2020,Mar,Kuwait,21
2020,Mar,Oman,1657
2020,Mar,Pakistan,27675
2020,Mar,Somalia,159
2020,Mar,Sudan,870
2020,Mar,Uganda,3467
2020,Mar,Yemen,3190
2021,Mar,Eritrea,100
2021,Mar,Ethiopia,13366
2021,Mar,Iran,1521
2021,Mar,Kenya,1184
2021,Mar,Somalia,12396
2021,Mar,Sudan,7437
2021,Mar,Tanzania,236
2010,May,Algeria,348
2010,May,Libya,40
2010,May,Morocco,1495
2010,May,Saudi Arabia,2695
2011,May,Algeria,274
2011,May,Egypt,65
2011,May,Iran,6700
2011,May,Mauritania,12405
2011,May,Morocco,542
2011,May,Pakistan,5665
2011,May,Saudi Arabia,24896
2012,May,Algeria,7987
2012,May,Libya,4460
2013,May,Algeria,6864
2013,May,Egypt,1184
2013,May,Israel,14400
2013,May,Libya,765
2013,May,Morocco,1932
2013,May,Saudi Arabia,13712
2013,May,Sudan,1415
2014,May,Algeria,40
2014,May,Ethiopia,2372
2014,May,Iran,2400
2014,May,Oman,4960
2014,May,Saudi Arabia,16448
2014,May,Sudan,786
2016,May,Algeria,651
2016,May,Mauritania,762
2016,May,Morocco,218
2016,May,Yemen,159
2017,May,Algeria,37
2017,May,Morocco,443
2018,May,Algeria,228
2019,May,Algeria,16
2019,May,Egypt,3341
2019,May,India,1560
2019,May,Iran,346180
2019,May,Jordan,2900
2019,May,Kuwait,15603
2019,May,Pakistan,4135
2019,May,Saudi Arabia,74237
2019,May,Sudan,790
2020,May,Ethiopia,57058
2020,May,India,53604
2020,May,Iran,101138
2020,May,Iraq,101
2020,May,Kenya,16594
2020,May,Oman,1385
2020,May,Pakistan,76466
2020,May,Somalia,10245
2021,May,Algeria,32
2021,May,Egypt,20
2021,May,Ethiopia,12663
2021,May,Iran,6370
2021,May,Iraq,502
2021,May,Jordan,300
2021,May,Lebanon,31
2021,May,Somalia,18304
2021,May,Sudan,2868
2021,May,Syria,269
2010,Nov,India,370
2010,Nov,Mauritania,400
2010,Nov,Oman,8
2010,Nov,Pakistan,4160
2010,Nov,Sudan,6909
2011,Nov,Niger,95
2012,Nov,Algeria,1110
2012,Nov,Chad,227
2012,Nov,Egypt,2866
2012,Nov,Libya,74
2012,Nov,Mauritania,4725
2012,Nov,Niger,42819
2012,Nov,Sudan,2024
2013,Nov,Algeria,40
2013,Nov,Eritrea,10040
2013,Nov,Mauritania,32355
2013,Nov,Saudi Arabia,466
2013,Nov,Sudan,20709
2013,Nov,Yemen,9000
2014,Nov,Eritrea,6943
2014,Nov,Sudan,82977
2015,Nov,Mauritania,2983
2016,Nov,Algeria,422
2016,Nov,Eritrea,850
2016,Nov,Mauritania,8252
2016,Nov,Morocco,112
2016,Nov,Niger,50
2016,Nov,Sudan,4525
2016,Nov,Yemen,40
2018,Nov,Algeria,130
2019,Nov,Algeria,272
2019,Nov,Eritrea,6060
2019,Nov,Ethiopia,10822
2019,Nov,India,34074
2019,Nov,Iran,1511
2019,Nov,Oman,116
2019,Nov,Pakistan,60970
2019,Nov,Sudan,27165
2019,Nov,Yemen,5760
2020,Nov,Algeria,167
2020,Nov,Egypt,1225
2020,Nov,Eritrea,8986
2020,Nov,Ethiopia,160580
2020,Nov,Iran,79
2020,Nov,Kenya,167
2020,Nov,Mauritania,258
2020,Nov,Niger,1398
2020,Nov,Somalia,30323
2020,Nov,Sudan,66488
2020,Nov,Yemen,335
2021,Nov,Egypt,100
2021,Nov,Eritrea,97
2021,Nov,Ethiopia,2126
2021,Nov,Somalia,18405
2021,Nov,Sudan,17735
2010,Oct,India,4330
2010,Oct,Mauritania,24
2010,Oct,Pakistan,3500
2011,Oct,Mali,1200
2011,Oct,Mauritania,60
2012,Oct,Chad,1777
2012,Oct,Mauritania,2905
2012,Oct,Niger,7574
2012,Oct,Sudan,1804
2013,Oct,Mauritania,2990
2013,Oct,Niger,110
2013,Oct,Saudi Arabia,210
2013,Oct,Sudan,240
2013,Oct,Yemen,1400
2014,Oct,Egypt,82
2014,Oct,Eritrea,8
2014,Oct,Ethiopia,63
2014,Oct,Sudan,20072
2016,Oct,Algeria,280
2016,Oct,Ethiopia,30
2016,Oct,Mauritania,8187
2016,Oct,Morocco,72
2016,Oct,Saudi Arabia,3420
2016,Oct,Sudan,2900
2017,Oct,Eritrea,2
2018,Oct,Algeria,180
2018,Oct,Somalia,70
2019,Oct,Algeria,15
2019,Oct,Ethiopia,4064
2019,Oct,India,82944
2019,Oct,Niger,29
2019,Oct,Pakistan,29930
2019,Oct,Saudi Arabia,1805
2019,Oct,Sudan,3025
2019,Oct,Yemen,32
2020,Oct,Eritrea,10354
2020,Oct,Ethiopia,335453
2020,Oct,Iran,40
2020,Oct,Kenya,318
2020,Oct,Pakistan,220
2020,Oct,Somalia,12974
2020,Oct,Sudan,52912
2020,Oct,Yemen,4609
2021,Oct,Ethiopia,138
2021,Oct,Somalia,7486
2021,Oct,Sudan,346
2010,Sep,Pakistan,900
2012,Sep,Chad,626
2012,Sep,Sudan,41
2013,Sep,Yemen,5000
2014,Sep,Algeria,41
2014,Sep,Ethiopia,134
2014,Sep,Sudan,2430
2016,Sep,Ethiopia,1
2016,Sep,Mali,810
2016,Sep,Mauritania,263
2016,Sep,Saudi Arabia,3000
2016,Sep,Somalia,53
2016,Sep,Yemen,50
2017,Sep,Algeria,34
2018,Sep,Algeria,406
2019,Sep,Eritrea,53
2019,Sep,Ethiopia,4636
2019,Sep,India,84639
2019,Sep,Pakistan,30210
2019,Sep,Saudi Arabia,4195
2019,Sep,Yemen,245
2020,Sep,Eritrea,5013
2020,Sep,Ethiopia,57457
2020,Sep,Kenya,2100
2020,Sep,Pakistan,3645
2020,Sep,Somalia,9157
2020,Sep,Sudan,9900
2020,Sep,Yemen,5828
2021,Sep,Ethiopia,3657
2021,Sep,Somalia,9972
2021,Sep,Sudan,1400
2021,Sep,Yemen,417
