Year,Month,Country,all_Northing,all_Easting,T_area (ha),Lat,Lon
2004,Apr,Mauritania,"['1945N', '2032N', '2056N', '2244N', '2510N']","['1421W', '1308W', '1137W', '1221W', '1135W']",10872,25.10,-11.35
2004,Apr,Niger,['1817N'],['0923E'],1550,18.17,09.23
2004,Apr,Algeria,"['2741N', '2753N', '3135N', '3318N', '3340N', '3349N', '3225N', '3157N', '3448N', '3440N', '3526N']","['0811W', '0017W', '0217W', '0200W', '0100E', '0243E', '0337E', '0520E', '0549E', '0314E', '0706E']",202152,35.26,07.06
2004,Apr,Morocco,"['3230N', '2827N', '2924N', '3244N', '2508N', '2343N', '2708N']","['0159W', '1109W', '1012W', '0820W', '1223W', '1557W', '1313W']",347205,27.08,-13.13
2004,Apr,Jamahiriya,"['3152N', '2459N', '3010N']","['1058E', '1011E', '0930E']",9864,30.10,09.30
2004,Apr,Sudan,"['1910N', '1932N']","['3027E', '3320E']",570,19.32,33.20
2004,Apr,Egypt,"['2202N', '2240N', '2254N', '2328N', '2340N', '2355N', '2530N']","['2510E', '3255E', '3135E', '3232E', '3231E', '3241E', '2900E']",43,25.30,29.00
2004,Apr,Arabia,['2405N'],['3802E'],1040,24.05,38.02
2003,Jul,Algeria,['2035N'],['0246E'],150,20.35,02.46
2004,Jul,Mauritania,"['1945N', '1732N', '1638N', '1612N', '1639N', '1636N', '1614N']","['1421W', '1441W', '1124W', '1332W', '0936W', '0715W', '0810W']",5071,16.14,-08.10
2004,Jul,Niger,"['1758N', '1843N', '1921N', '1840N', '1651N', '1522N', '1505N']","['0850E', '0721E', '0538E', '0736E', '0542E', '0621E', '0850E']",1075,15.05,08.50
2004,Jul,Senegal,"['1540N', '1454N']","['1318W', '1226W']",872,14.54,-12.26
2004,Jul,Algeria,"['3341N', '3440N', '3541N', '3225N', '3157N', '3448N', '3323N', '2741N', '2250N', '2630N', '2434N']","['0102E', '0314E', '0431E', '0337E', '0520E', '0549E', '0649E', '0811W', '0528E', '0825E', '0930E']",1013,24.34,09.30
2004,Jul,Morocco,"['3232N', '3400N', '3057N', '3154N', '2834N', '2644N', '2136N']","['0159W', '0201W', '0650W', '0425W', '0927W', '1142W', '1628W']",724913,21.36,-16.28
2004,Jul,Jamahiriya,['2459N'],['1011E'],2882,24.59,10.11
2004,Mar,Mauritania,"['2510N', '2456N', '2255N', '2244N', '2056N', '1945N', '2032N']","['1135W', '1124W', '1200W', '1221W', '1137W', '1421W', '1308W']",24597,20.32,-13.08
2004,Mar,Morocco,"['3230N', '3057N', '3241N', '3149N', '3126N', '3135N', '2508N', '2708N', '2644N']","['0159W', '0650W', '0443W', '0800W', '0958W', '0847W', '1223W', '1313W', '1142W']",446936,26.44,-11.42
2004,Mar,Sudan,"['1910N', '9S', '1932N']","['3027E', '3320E']",959,19.32,33.20
2004,Mar,Egypt,"['2224N', '2219N', '2254N', '2246N', '2240N', '2212N', '2530N', '2525N', '2821N', '2357N']","['3624E', '3138E', '3135E', '3225E', '3255E', '3134E', '2900E', '3034E', '2851E', '3018E']",2666,23.57,30.18
2004,Mar,Arabia,"['2405N', '2247N', '2248N']","['3802E', '3901E', '4210E']",2375,22.48,42.10
2005,Nov,Algeria,"['2250N', '2630N']","['0528E', '0825E']",905,22.50,05.28
2005,Nov,Jamahiriya,['2432N'],['1057E'],100,24.32,10.57
2005,Nov,Pakistan,"['2822N', '2801N']","['7020E', '7152E']",2322,28.01,71.52
2005,Nov,India,"['2712N', '2652N']","['7348E', '7055E']",6201,26.52,70.55
2005,Apr,Algeria,"['3323N', '3448N', '3349N']","['0649E', '0549E', '0243E']",547,33.49,02.43
2005,Apr,Tunisia,['3349N'],['0243E'],547,33.49,02.43
2005,Apr,Egypt,"['2504N', '2256N', '2317N']","['3454E', '3300E', '3252E']",513,23.17,32.52
2005,Mar,Senegal,['1251N'],['1535W'],210,12.51,-15.35
2005,Mar,Morocco,"['3429N', '3428N']","['0146W', '0159W']",570,34.28,-01.59
2005,Mar,Jamahiriya,['3350N'],['0734E'],10,33.50,07.34
2005,Mar,Tunisia,['3350N'],['0734E'],10,33.50,07.34
2005,Mar,Sudan,"['2002N', '1827N', '1908N', '1837N']","['3551E', '3741E', '3717E', '3729E']",4872,18.37,37.29
2005,Mar,Egypt,['2504N'],['3454E'],2053,25.04,34.54
2005,Jul,Chad,['1315N'],['1828E'],5592,13.15,18.28
2005,Jul,Sudan,"['1337N', '1327N', '1246N', '1311N', '1500N']","['2522E', '2230E', '2828E', '3010E', '3010E']",1675,15.00,30.10
2005,Jul,Ethiopia,['1404N'],['3645E'],14,14.04,36.45
2005,Jan,Senegal,"['1256N', '1251N']","['1455W', '1535W']",5921,12.51,-15.35
2005,Jan,Islands,[],[],80,Missing,Missing
2005,Jan,Guinea,"['1229N', '1145N', '1205N', '1129N', '1119N', '1054N', '1056N', '1118N']","['1317W', '1311W', '1218W', '1241W', '1217W', '1302W', '1418W', '1043W']",3900,11.18,-10.43
2005,Jan,Algeria,"['3135N', '3318N', '2753N', '2712N', '3349N', '3225N', '3157N', '3308N']","['0217W', '0200W', '0017W', '0229E', '0243E', '0337E', '0520E', '0604E']",287716,33.08,06.04
2005,Jan,Morocco,"['2924N', '3030N', '3154N', '3232N', '3416N', '3441N']","['1012W', '0940W', '0425W', '0159W', '0401W', '0145W']",68412,34.41,-01.45
2005,Jan,Jamahiriya,['2459N'],['1011E'],220,24.59,10.11
2005,Jan,Sudan,[],[],1320,Missing,Missing
2005,Dec,Mauritania,"['1834N', '1752N', '1833N', '2244N', '2510N']","['1424W', '1219W', '1126W', '1221W', '1135W']",723,25.10,-11.35
2005,Dec,Pakistan,"['2822N', '2612N', '2600N']","['7020E', '6620E', '6303E']",215,26.00,63.03
2005,Dec,India,[],[],535,Missing,Missing
2004,Feb,Mauritania,"['1932N', '1945N', '2032N', '2244N', '2456N', '2255N', '2431N', '1751N']","['1512W', '1421W', '1308W', '1221W', '1124W', '1200W', '0828W', '1228W']",54237,17.51,-12.28
2004,Feb,Niger,"['1817N', '1858N', '1901N', '1814N', '1825N']","['0923E', '0940E', '0924E', '0940E', '0500E']",758,18.25,05.00
2004,Feb,Algeria,"['2742N', '2250N', '2712N', '30N', '3011N']","['0810W', '0528E', '0229E', '0214W']",1908,30.11,-02.14
2004,Feb,Sudan,"['2016N', '1910N']",['3027E'],308,19.10,30.27
2004,Feb,Eritrea,"['1730N', '1551N']","['3846E', '3903E']",1920,15.51,39.03
2004,Feb,Egypt,['2212N'],['3635E'],895,22.12,36.35
2004,Jun,Mauritania,"['2244N', '2056N', '1945N', '1809N', '1638N', '1639N', '1730N', '1629N', '1612N']","['1221W', '1137W', '1421W', '1558W', '1124W', '0936W', '1305W', '1553W', '1332W']",1497,16.12,-13.32
2004,Jun,Senegal,"['1626N', '1448N', '1540N']","['1541W', '1555W', '1318W']",30,15.40,-13.18
2004,Jun,Morocco,"['3400N', '3232N', '2644N', '2659N', '3057N', '3154N']","['0201W', '0159W', '0950W', '0849W', '0650W', '0425W']",736750,31.54,-04.25
2004,Jun,Jamahiriya,"['3152N', '3010N', '3143N', '2459N', '2704N']","['1058E', '0930E', '1401E', '1011E', '1425E']",76000,27.04,14.25
2003,Dec,Mauritania,"['2318N', '2056N', '2410N', '1929N', '2518N']","['1231W', '1137W', '0952W', '1557W', '1102W']",6955,25.18,-11.02
2003,Dec,Mali,"['1813N', '1755N']","['0234E', '0251E']",9212,17.55,02.51
2003,Dec,Algeria,"['2250N', '2630N', '2742N', '2434N', '3011N', '2712N']","['0528E', '0825E', '0810W', '0930E', '014W', '0229E']",532,27.12,02.29
2003,Dec,Morocco,"['2353N', '2708N', '2135N']","['1431W', '1313W', '1458W']",13736,21.35,-14.58
