Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha),Lat,Lon
2020,Oct,PAKISTAN,"['2507N', '2523N', '2751N', '2548N']","['7015E', '6821E', '7048E', '6637E']",Uthal,220,25.48,66.37
2019,Feb,SUDAN,"['1938N', '1910N']","['3713E', '3027E']",Dongola,38207,19.10,30.27
2019,Feb,ERITREA,"['1723N', '1515N']","['3833E', '3937E']",Foro,22219,15.15,39.37
2019,Feb,EGYPT,"['2224N', '2308N', '2213N', '2247N', '2219N', '2317N']","['3624E', '3535E', '3638E', '3126E', '3138E', '3252E']",Husein,4022,23.17,32.52
2019,Feb,SAUDI ARABIA,"['2008N', '2615N', '2215N', '2309N', '2405N', '2700N', '2248N', '2621N']","['4016E', '3627E', '3906E', '3851E', '3802E', '4939E', '4210E', '4358E']",Gassim,18468,26.21,43.58
2019,Feb,IRAN,"['2652N', '2634N', '2708N', '2854N', '2731N', '2540N']","['5329E', '5452E', '5705E', '5050E', '5752E', '5746E']",ask,4582,25.40,57.46
2019,Jun,ALGERIA,"['3341N', '2753N', '2712N', '2250N', '3135N']","['0102E', '0017W', '0229E', '0528E', '0217W']",Bechar,399,31.35,-02.17
2019,Jun,SUDAN,"['1932N', '1910N', '1533N']","['3320E', '3027E', '3235E']",Khartoum,3700,15.33,32.35
2019,Jun,EGYPT,"['2247N', '2405N', '2448N', '2357N', '2525N']","['3126E', '3256E', '3035E', '3018E', '3034E']",Kharga,604,25.25,30.34
2019,Jun,SAUDI ARABIA,"['2028N', '2948N', '2823N', '2731N', '2439N', '2733N', '1813N']","['4747E', '3952E', '3635E', '4141E', '4642E', '4742E', '4230E']",Abha,39270,18.13,42.30
2019,Jun,YEMEN,"['1521N', '1358N', '1609N', '1452N', '1250N', '1600N']","['4412E', '4411E', '4446E', '4545E', '4503E', '4312E']",Suq Abs,5,16.00,43.12
2019,Jun,IRAN,"['2540N', '3231N']","['5746E', '4722E']",Mousiyan,247270,32.31,47.22
2019,Jun,PAKISTAN,"['2614N', '2600N', '2508N', '2856N', '2739N', '2751N']","['6619E', '6303E', '6219E', '6430E', '6857E', '7048E']",Islamgarh,8684,27.51,70.48
2019,Jun,INDIA,"['2706N', '2649N']","['7222E', '7030E']",Sam,3991,26.49,70.30
2021,Aug,SOMALIA,"['0931N', '1023N', '1040N', '1017N', '0646N']","['4402E', '4425E', '4720E', '5014E', '4725E']",Galkayo,11985,06.46,47.25
2021,Aug,SUDAN,"['1438N', '1426N', '1554N', '1734N', '1527N', '1910N', '1932N', '1803N', '1423N']","['2756E', '3112E', '3027E', '3358E', '3623E', '3027E', '3320E', '3057E', '2906E']",Sodiri,180,14.23,29.06
2019,Jan,MAURITANIA,['2003N'],['1301W'],Oujeft,100,20.03,-13.01
2019,Jan,SUDAN,"['1938N', '1827N', '1753N', '2002N', '1830N', '1910N']","['3713E', '3741E', '3819E', '3551E', '3149E', '3027E']",Dongola,34028,19.10,30.27
2019,Jan,ERITREA,"['1723N', '1616N']","['3833E', '3911E']",Cuba,6965,16.16,39.11
