Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha)
2019,Nov,SUDAN,"['1554N', '1801N', '1527N', '1731N', '2054N', '1745N']","['3027E', '3400E', '3623E', '3607E', '3709E', '3820E']",Karora,27165
2019,Nov,ERITREA,"['1515N', '1548N', '1551N', '1537N']","['3937E', '3918E', '3903E', '3928E']",Massawa,6060
2019,Nov,ETHIOPIA,"['0935N', '1045N', '0922N', '0658N', '0537N']","['4150E', '4234E', '4250E', '4520E', '4408E']",efalo,10822
2019,Nov,ARABIA,"['2008N', '1909N', '1656N', '2130N', '2309N', '2501N', '1729N', '2028N']","['4016E', '4107E', '4233E', '3910E', '3851E', '3716E', '4408E', '4747E']",Dawasir,7770
2019,Nov,YEMEN,"['1541N', '1600N', '1303N', '1333N']","['4300E', '4312E', '4453E', '4644E']",Ahwar,5760
2019,Nov,OMAN,"['1939N', '2323N', '2232N', '2314N']","['5743E', '5725E', '5948E', '5630E']",Ibri,116
2019,Nov,IRAN,"['2534N', '2604N']","['5923E', '6144E']",Pishin,1511
2019,Nov,PAKISTAN,"['2450N', '2614N']","['6702E', '6619E']",Lasbela,60970
2021,Sep,ETHIOPIA,"['1148N', '1136N', '1329N', '0935N', '1045N', '0922N']","['4100E', '4001E', '3928E', '4150E', '4234E', '4250E']",Jijiga,3657
2021,Sep,SOMALIA,"['0956N', '0931N', '1040N', '1017N', '1058N']","['4313E', '4402E', '4720E', '5014E', '4326E']",Silil,9972
2021,Sep,SUDAN,"['1311N', '1554N', '1527N', '1803N', '1910N', '2147N']","['3010E', '3027E', '3623E', '3057E', '3027E', '3122E']",Halfa,1400
2020,May,ETHIOPIA,"['0550N', '0813N', '0935N', '1045N', '1329N']","['4205E', '4333E', '4150E', '4234E', '3928E']",Mekele,57058
2020,May,SOMALIA,"['0956N', '1017N', '0824N', '0646N', '0532N', '1028N', '1023N']","['4313E', '5014E', '4829E', '4725E', '4623E', '4502E', '4425E']",Bulhar,10245
2020,May,KENYA,"['2625N', '2523N', '2028N', '1729N', '2731N', '2948N']","['5003E', '4935E', '4747E', '4408E', '4141E', '3952E']",Al Jawf,9015
2020,May,ARABIA,"['2625N', '2523N', '2028N', '1729N', '2731N', '2948N']","['5003E', '4935E', '4747E', '4408E', '4141E', '3952E']",Al Jawf,9015
2020,May,OMAN,"['2323N', '2232N', '2415N', '2518N', '2421N']","['5725E', '5948E', '5547E', '5620E', '5644E']",Sohar,1385
2020,May,IRAQ,"['3236N', '3103N']","['4401E', '4616E']",Nasiriyah,101
2020,May,IRAN,"['2854N', '2634N', '2540N', '2721N', '2930N', '3235N']","['5050E', '5452E', '5746E', '6220E', '6051E', '5948E']",Sarbisheh,101138
2020,May,PAKISTAN,"['2658N', '3015N', '2515N', '2739N']","['6406E', '6700E', '6328E', '6857E']",Rohri,76466
2020,May,INDIA,"['2627N', '2243N', '2654N', '2434N', '2109N']","['7438E', '7551E', '7548E', '8035E', '7905E']",Nagpur,53604
2020,Oct,SUDAN,"['1820N', '1932N', '1827N', '1745N', '2002N', '2119N']","['3621E', '3320E', '3741E', '3820E', '3551E', '3613E']",Suﬁ ya,52912
2020,Oct,ERITREA,"['1604N', '1441N', '1723N', '1551N', '1515N', '1519N']","['3725E', '4057E', '3833E', '3903E', '3937E', '3856E']",Asmara,10354
2020,Oct,ETHIOPIA,"['1108N', '1329N', '1148N', '0935N', '0922N', '0644N', '0901N', '0832N', '1407N', '0658N']","['3938E', '3928E', '4100E', '4150E', '4250E', '4416E', '3916E', '3843E', '4520E']",Warder,335453
2020,Oct,SOMALIA,"['0824N', '0930N', '0444N', '0202N', '0532N', '0646N', '0956N', '0931N']","['4829E', '4905E', '4512E', '4520E', '4623E', '4725E', '4313E', '4402E']",argeisa,12974
2020,Oct,KENYA,[],[],Location Missing,318
2020,Oct,ARABIA,"['1656N', '1909N', '2008N', '2346N']","['4233E', '4107E', '4016E', '3847E']",Bader,21290
2020,Oct,YEMEN,"['1610N', '1452N', '1435N', '1416N', '1522N', '1521N', '1358N', '1341N', '1405N', '1541N', '1600N', '1410N']","['4446E', '4545E', '4649E', '4735E', '4700E', '4412E', '4411E', '4443E', '4542E', '4300E', '4312E', '4318E']",Zabid,4609
2020,Oct,IRAN,"['2540N', '2636N']","['5746E', '5753E']",Gouharan,4
2020,Oct,PAKISTAN,"['2507N', '2523N', '2751N', '2548N']","['7015E', '6821E', '7048E', '6637E']",Uthal,220
2019,Feb,SUDAN,"['1938N', '1910N']","['3713E', '3027E']",Dongola,38207
2019,Feb,ERITREA,"['1723N', '1515N']","['3833E', '3937E']",Foro,22219
2019,Feb,EGYPT,"['2224N', '2308N', '2213N', '2247N', '2219N', '2317N']","['3624E', '3535E', '3638E', '3126E', '3138E', '3252E']",Husein,4022
2019,Feb,ARABIA,"['2008N', '2615N', '2215N', '2309N', '2405N', '2700N', '2248N', '2621N']","['4016E', '3627E', '3906E', '3851E', '3802E', '4939E', '4210E', '4358E']",Gassim,18468
2019,Feb,IRAN,"['2652N', '2634N', '2708N', '2854N', '2731N', '2540N']","['5329E', '5452E', '5705E', '5050E', '5752E', '5746E']",ask,4582
2019,Jun,ALGERIA,"['3341N', '2753N', '2712N', '2250N', '3135N']","['0102E', '0017W', '0229E', '0528E', '0217W']",Bechar,399
2019,Jun,SUDAN,"['1932N', '1910N', '1533N']","['3320E', '3027E', '3235E']",Khartoum,3700
2019,Jun,EGYPT,"['2247N', '2405N', '2448N', '2357N', '2525N']","['3126E', '3256E', '3035E', '3018E', '3034E']",Kharga,604
2019,Jun,ARABIA,"['2028N', '2948N', '2823N', '2731N', '2439N', '2733N', '1813N']","['4747E', '3952E', '3635E', '4141E', '4642E', '4742E', '4230E']",Abha,39270
2019,Jun,YEMEN,"['1521N', '1358N', '1609N', '1452N', '1250N', '1600N']","['4412E', '4411E', '4446E', '4545E', '4503E', '4312E']",Suq Abs,5
2019,Jun,IRAN,"['2540N', '3231N']","['5746E', '4722E']",Mousiyan,247270
2019,Jun,PAKISTAN,"['2614N', '2600N', '2508N', '2856N', '2739N', '2751N']","['6619E', '6303E', '6219E', '6430E', '6857E', '7048E']",Islamgarh,8684
2019,Jun,INDIA,"['2706N', '2649N']","['7222E', '7030E']",Sam,3991
2021,Aug,SOMALIA,"['0931N', '1023N', '1040N', '1017N', '0646N']","['4402E', '4425E', '4720E', '5014E', '4725E']",Galkayo,11985
2021,Aug,SUDAN,"['1438N', '1426N', '1554N', '1734N', '1527N', '1910N', '1932N', '1803N', '1423N']","['2756E', '3112E', '3027E', '3358E', '3623E', '3027E', '3320E', '3057E', '2906E']",Sodiri,180
2019,Jan,MAURITANIA,['2003N'],['1301W'],Oujeft,100
2019,Jan,SUDAN,"['1938N', '1827N', '1753N', '2002N', '1830N', '1910N']","['3713E', '3741E', '3819E', '3551E', '3149E', '3027E']",Dongola,34028
2019,Jan,ERITREA,"['1723N', '1616N']","['3833E', '3911E']",Cuba,6965
2019,Jan,EGYPT,"['2308N', '2359N', '2224N', '2213N', '2247N', '2219N', '2317N']","['3535E', '3524E', '3624E', '3638E', '3126E', '3138E', '3252E']",arf Husein,1660
2019,Jan,ARABIA,"['2008N', '2405N', '2309N', '2215N', '2028N', '2206N', '2315N', '2523N', '1729N', '1729N']","['4016E', '3802E', '3851E', '3906E', '4747E', '4657E', '4859E', '4941E', '4408E', '4706E']",Sharawrah,12165
2019,Dec,MAURITANIA,"['1928N', '2003N']","['1525W', '1301W']",Oujeft,93
2019,Dec,ALGERIA,"['1937N', '2753N', '2119N', '1957N']","['0552E', '0017W', '0057E', '0258E']",Tin Zaouatene,25
2019,Dec,SUDAN,"['1554N', '1801N', '2145N', '2054N', '1938N']","['3027E', '3400E', '3644E', '3709E', '3713E']",Sudan,26846
2019,Dec,ERITREA,"['1515N', '1723N']","['3937E', '3833E']",Mehimet,11078
2019,Dec,ETHIOPIA,"['0935N', '1045N', '0922N', '0813N', '0658N', '0644N', '0557N', '0537N']","['4150E', '4234E', '4250E', '4333E', '4520E', '4416E', '4333E', '4408E']",efalo,8410
2019,Dec,EGYPT,"['2308N', '2359N', '2504N', '2247N']","['3535E', '3524E', '3454E', '3126E']",Tushka,30
2019,Dec,ARABIA,"['1656N', '2008N', '1909N', '1813N', '1729N', '2621N', '2731N', '2501N']","['4233E', '4016E', '4107E', '4230E', '4408E', '4358E', '4141E', '3716E']",Umm Lajj,43798
2019,Dec,YEMEN,"['1541N', '1600N', '1454N', '1401N', '1612N']","['4300E', '4312E', '4312E', '4820E', '5210E']",Al Ghaydah,80
2019,Dec,OMAN,"['2232N', '1939N']","['5948E', '5743E']",Duqm,1710
2019,Dec,IRAN,"['2708N', '2517N', '2711N']","['5705E', '6036E', '6028E']",Bampur,2372
2019,Dec,PAKISTAN,['3015N'],['6700E'],Quetta,71388
2019,Dec,INDIA,"['2706N', '2543N', '2410N', '2312N']","['7222E', '7125E', '7226E', '6954E']",Bhuj,22113
2020,Aug,ERITREA,"['1604N', '1536N', '1450N', '1451N', '1519N', '1640N', '1441N', '1301N']","['3725E', '3905E', '3951E', '3922E', '3856E', '3828E', '4057E', '4247E']",Assab,1310
2020,Aug,ETHIOPIA,"['0935N', '1045N', '0922N', '1148N', '1108N', '1329N']","['4150E', '4234E', '4250E', '4100E', '3938E', '3928E']",Mekele,54703
2020,Aug,SOMALIA,"['0931N', '0956N', '1023N', '1058N', '1017N', '1040N', '0532N', '0646N']","['4402E', '4313E', '4425E', '4326E', '5014E', '4720E', '4623E', '4725E']",Galkayo,8800
2020,Aug,KENYA,[],[],Location Missing,5454
2020,Aug,SUDAN,"['0446N', '0440N', '0445N', '0425N']","['3335E', '3339E', '3339E', '3312E']",Naguri,250
2020,Aug,ARABIA,"['1729N', '1656N']","['4408E', '4233E']",Jizan,1355
2020,Aug,YEMEN,"['1610N', '1430N', '1608N', '1559N', '1542N', '1431N', '1521N', '1746N', '1416N', '1306N', '1333N', '1600N', '1410N']","['4446E', '4629E', '4714E', '4844E', '4817E', '4908E', '4412E', '5229E', '4735E', '4523E', '4644E', '4312E', '4318E']",Abs Zabid,5909
2020,Aug,OMAN,"['1700N', '1736N', '2234N', '2415N']","['5405E', '5401E', '5930E', '5547E']",Buraimi,58
2020,Aug,PAKISTAN,"['2507N', '2421N', '2751N', '2548N']","['7015E', '7045E', '7048E', '6637E']",Uthal,26381
2020,Aug,INDIA,"['2818N', '2919N']","['7458E', '7354E']",Suratgarh,49124
2019,Sep,ERITREA,"['1537N', '1548N', '1507N', '1551N']","['3928E', '3918E', '4004E', '3903E']",Sheib,53
2019,Sep,ETHIOPIA,"['1111N', '0935N', '1045N']","['4001E', '4150E', '4234E']",Ayasha,4636
2019,Sep,ARABIA,"['1656N', '2008N']","['4233E', '4016E']",ith,4195
2019,Sep,YEMEN,"['1541N', '1619N', '1410N', '1527N', '1430N']","['4300E', '4248E', '4318E', '4519E', '4629E']",Nisab,245
2019,Sep,PAKISTAN,"['2751N', '2742N', '2542N', '2421N']","['7048E', '6854E', '7012E', '7045E']",Nagarparkar,30210
2019,Sep,INDIA,"['2543N', '2801N']","['7125E', '7322E']",Bikaner,84639
2020,Apr,ETHIOPIA,"['0602N', '0504N', '0520N', '0550N', '0935N', '0922N', '1045N']","['3733E', '3723E', '3935E', '4205E', '4150E', '4250E', '4234E']",Ayasha,99948
2020,Apr,SOMALIA,"['1023N', '0956N', '0931N', '0713N', '0532N']","['4425E', '4313E', '4533E', '4851E', '4623E']",Mareb,600
2020,Apr,KENYA,"['0105N', '0231N', '0318N']","['3411E', '3439E', '3253E']",Kitgum,14637
2020,Apr,ARABIA,"['2523N', '2733N', '2218N', '2731N', '2948N']","['4935E', '4742E', '4643E', '4141E', '3952E']",Al Jawf,29868
2020,Apr,OMAN,"['2337N', '2333N', '2314N', '2415N', '2223N', '2234N', '1736N', '1641N']","['5833E', '5733E', '5630E', '5547E', '5731E', '5930E', '5401E', '5307E']",Sarfayt,4147
2020,Apr,IRAQ,"['3236N', '3158N', '3117N']","['4401E', '4453E', '4516E']",Samawah,815
2020,Apr,IRAN,"['2854N', '2634N', '2540N', '2517N', '2717N', '2731N', '2712N', '2930N', '3132N', '2901N']","['5050E', '5452E', '5746E', '6036E', '6159E', '5752E', '6042E', '6051E', '6002E', '6127E']",Mirjaveh,98658
2020,Apr,PAKISTAN,"['2749N', '2744N', '2933N', '2856N', '2658N', '2508N', '2515N', '2600N', '2742N', '7055N']","['6639E', '6448E', '6601E', '6430E', '6406E', '6219E', '6328E', '6303E', '6854E', '3150E']",Khan,50289
2020,Apr,INDIA,"['2955N', '3024N', '2652N']","['7353E', '7402E', '7055E']",Jaisalmer,1970
2020,Apr,AFGHANISTAN,"['3016N', '3057N']","['6203E', '6151E']",Zaranj,20
2020,Mar,SUDAN,"['1932N', '1832N', '1910N', '2122N']","['3320E', '3148E', '3027E', '2119E']",Oasis,870
2020,Mar,ERITREA,"['1441N', '1507N', '1537N']","['4057E', '4004E', '3928E']",Massawa,5640
2020,Mar,ETHIOPIA,['0935N'],['4150E'],Dawa,39656
2020,Mar,KENYA,[],[],Location Missing,33968
2020,Mar,UGANDA,"['0231N', '0318N']","['3439E', '3253E']",Kitgum,607
2020,Mar,EGYPT,"['2412N', '2224N']","['3438E', '3624E']",Abu Ramad,15
2020,Mar,ARABIA,"['1909N', '2523N', '2733N', '2731N', '2948N', '4331N']","['4107E', '4935E', '4742E', '4141E', '3952E', '2938E']",Rafha,10390
2020,Mar,YEMEN,"['1450N', '1454N', '1541N', '1600N', '1302N', '1306N', '1333N', '1612N', '1746N', '1719N']","['4258E', '4312E', '4300E', '4312E', '4434E', '4523E', '4644E', '5210E', '5229E', '5205E']",Hat,3190
2020,Mar,OMAN,"['2337N', '2333N', '2415N', '2243N', '2223N', '1939N', '1808N', '2314N', '1736N']","['5833E', '5733E', '5547E', '5831E', '5731E', '5743E', '5516E', '5630E', '5401E']",Thumrait,1657
2020,Mar,IRAQ,"['3117N', '3031N']","['4516E', '4749E']",Basrah,1625
2020,Mar,PAKISTAN,"['2749N', '2933N', '2856N', '2832N', '2744N', '2658N', '2600N', '2515N', '2742N', '7055N', '2751N']","['6639E', '6601E', '6430E', '6526E', '6448E', '6406E', '6303E', '6328E', '6854E', '3150E', '7048E']",Islamgarh,27675
2020,Mar,IRAN,"['2657N', '2708N', '2540N', '2517N', '2711N']","['5527E', '5705E', '5746E', '6036E', '6028E']",Bampur,39676
2020,Jul,SUDAN,[],[],Location Missing,235
2020,Jul,ETHIOPIA,"['0504N', '0644N', '0935N', '0922N', '1108N', '1230N', '0504N', '1147N']","['3723E', '4416E', '4150E', '4250E', '3938E', '3931E', '3723E', '4100E']",Semera,44883
2020,Jul,SOMALIA,"['0931N', '0824N', '0931N', '1040N', '0956N', '0532N']","['4533E', '4829E', '4402E', '4720E', '4313E', '4623E']",Mareb,12569
2020,Jul,KENYA,[],[],Location Missing,12080
2020,Jul,UGANDA,['0231N'],['3439E'],Moroto,3080
2020,Jul,ARABIA,"['1729N', '1819N']","['4408E', '4245E']",Mushait,440
2020,Jul,YEMEN,"['1521N', '1610N', '1430N', '1431N', '1512N', '1612N', '1656N', '1341N', '1250N', '1416N', '1306N', '1600N']","['4412E', '4446E', '4629E', '4908E', '5115E', '5210E', '4345E', '4443E', '4503E', '4735E', '4523E', '4312E']",Suq Abs,10718
2020,Jul,OMAN,"['1700N', '1736N', '2255N', '2415N']","['5405E', '5401E', '5731E', '5547E']",Buraimi,443
2020,Jul,IRAN,['3252N'],['5913E'],Birjand,1450
2020,Jul,PAKISTAN,"['2658N', '2600N', '2749N', '3015N', '2614N', '2421N']","['6406E', '6303E', '6639E', '6700E', '6619E', '7045E']",Nagarparkar,33599
2020,Jul,INDIA,"['2618N', '2818N']","['7308E', '7458E']",Churu,102645
2020,Jul,AFGHANISTAN,"['3336N', '3320N']","['6914E', '6956E']",Khost,304
2020,Nov,MAURITANIA,"['1809N', '1827N', '1945N', '2032N']","['1558W', '1444W', '1421W', '1308W']",Atar,258
2020,Nov,NIGER,"['1843N', '1920N']","['0721E', '0546E']",Assamakka,1398
2020,Nov,ALGERIA,"['1934N', '2250N', '2753N']","['0546E', '0528E', '0017W']",Valley,167
2020,Nov,SUDAN,"['1731N', '1820N', '2002N', '2119N', '2146N', '1827N', '2009N', '1533N', '1910N', '1932N']","['3607E', '3621E', '3551E', '3613E', '3651E', '3741E', '3706E', '3235E', '3027E', '3320E']",Abu Hamed,66488
2020,Nov,ERITREA,"['1640N', '1357N', '1441N', '1551N', '1616N', '1626N']","['3828E', '4138E', '4057E', '3903E', '3911E', '3840E']",Naro,8986
2020,Nov,ETHIOPIA,"['1108N', '1329N', '0922N', '0557N']","['3938E', '3928E', '4250E', '4333E']",Gode,85382
2020,Nov,SOMALIA,"['0956N', '0931N', '0931N', '1040N', '1023N', '0824N', '0930N', '0320N']","['4313E', '4402E', '4533E', '4720E', '4425E', '4829E', '4905E', '4213E']",Garbahare,30323
2020,Nov,KENYA,"['0324S', '0145N']","['3833E', '4003E']",Wajir,167
2020,Nov,EGYPT,"['2213N', '2308N', '2504N', '2247N', '2219N', '3131N']","['3638E', '3535E', '3454E', '3126E', '3138E', '2509E']",Salum,1225
2020,Nov,ARABIA,"['1813N', '1729N', '2439N', '2625N', '2130N', '2125N', '2346N', '2115N', '2309N', '1909N']","['4230E', '4408E', '4642E', '5003E', '3910E', '3949E', '3847E', '4021E', '3851E', '4107E']",dah,5190
2020,Nov,YEMEN,"['1600N', '1410N', '1521N', '1610N', '1452N', '1302N', '1306N', '1333N', '1401N', '1416N']","['4312E', '4318E', '4412E', '4446E', '4545E', '4434E', '4523E', '4644E', '4820E', '4735E']",’,335
2020,Nov,IRAN,"['2540N', '2636N', '2854N']","['5746E', '5753E', '5050E']",Bushehr,79
2021,Apr,SUDAN,"['1906N', '1827N']","['3719E', '3741E']",Tokar,4640
2021,Apr,ETHIOPIA,"['0707N', '0935N', '0922N', '0813N']","['4000E', '4150E', '4250E', '4333E']",Bur,14370
2021,Apr,SOMALIA,"['0824N', '0930N', '0646N', '0828N', '1040N', '0931N', '0931N', '0956N']","['4829E', '4905E', '4725E', '4721E', '4720E', '4533E', '4402E', '4313E']",Boroma,5120
2021,Apr,KENYA,"['0017S', '0106N']","['3605E', '3642E']",Maralal,136
2021,Apr,EGYPT,"['2929N', '2902N', '2830N', '2224N', '2504N']","['3453E', '3440E', '3430E', '3624E', '3454E']",Alam,307
2021,Apr,ARABIA,"['2731N', '2430N', '2625N', '2823N', '2542N', '2948N', '2821N', '2405N']","['4141E', '4422E', '5003E', '3635E', '3917E', '3952E', '4556E', '3802E']",enbo,8250
2021,Apr,KUWAIT,['2838N'],['4808E'],farm,2
2021,Apr,IRAQ,"['3302N', '3429N', '3420N']","['4017E', '4154E', '4111E']",im,140
2021,Apr,JORDAN,"['2920N', '3230N', '3157N', '3111N', '3150N', '3019N', '3102N']","['3602E', '3812E', '3556E', '3543E', '3649E', '3610E', '73528E']",Al Jafr,1500
2021,Apr,SYRIA,"['3434N', '3434N', '3520N', '3242N', '3409N', '3331N', '3558N', '3612N', '3531N', '3307N']","['4056E', '4054E', '4007E', '3634E', '3645E', '3618E', '3802E', '3709E', '3547E', '3549E']",Quneitra,2867
2021,Apr,LEBANON,"['3410N', '3416N', '3400N']","['3625E', '3625E', '3613E']",Baalbek,406
2021,Apr,IRAN,"['2854N', '3224N', '3021N']","['5050E', '4824E', '4817E']",Abadan,4718
2021,Jul,MOROCCO,['3154N'],['0425W'],Errachidia,30
2021,Jul,SUDAN,"['1832N', '1423N', '1641N', '1527N', '1820N']","['3148E', '2906E', '3322E', '3623E', '3621E']",Haiya,525
2021,Jul,ETHIOPIA,"['1045N', '1105N']","['4234E', '3944E']",Kombolcha,3788
2021,Jul,DJIBOUTI,"['1100N', '1109N']","['4206E', '4242E']",Ali Sabieh,55
2021,Jul,SOMALIA,"['0931N', '1028N', '0956N', '0931N', '1023N']","['4402E', '4502E', '4313E', '4533E', '4425E']",Bulhar,27162
2021,Jul,EGYPT,"['2247N', '2224N']","['3126E', '3624E']",Abu Ramad,50
2021,Mar,SUDAN,"['1827N', '1906N', '1745N', '2002N', '1641N', '1803N']","['3741E', '3719E', '3820E', '3551E', '3322E', '3057E']",Ed Debba,7437
2021,Mar,ERITREA,"['1723N', '1548N', '1357N']","['3833E', '3918E', '4138E']",Idd,100
2021,Mar,SOMALIA,"['1040N', '1017N', '0956N']","['4720E', '5014E', '4313E']",Boroma,12396
2021,Mar,TANZANIA,"['0322S', '0244N']","['3642E', '3642E']",Longido,236
2021,Mar,ARABIA,"['2215N', '2615N', '2731N', '2439N', '2733N', '2621N']","['3906E', '3627E', '4141E', '4642E', '4742E', '4358E']",Gassim,50120
2021,Mar,IRAN,"['2854N', '3224N']","['5050E', '4824E']",Dezful,1521
2021,Nov,EGYPT,['2308N'],['3535E'],Shalatyn,100
2021,Nov,ERITREA,"['1454N', '1616N']","['4018E', '3911E']",Cuba,97
2021,Nov,ETHIOPIA,"['0813N', '0550N', '0445N', '0403N', '0504N']","['4333E', '4205E', '3849E', '3819E', '3723E']",Teltele,2126
2021,Nov,SOMALIA,"['0930N', '0956N', '0956N', '0646N']","['4905E', '4313E', '4511E', '4725E']",Galkayo,18405
2021,Nov,SUDAN,"['1803N', '1801N', '2009N']","['3057E', '3400E', '3706E']",E,17735
