Year,Month,Country,T_area (ha)
2021,Jun,Kazakhstan,548400
2021,Jun,Kyrgyzstan,28600
2021,Jun,Turkmenistan,43273
2021,Jun,Uzbekistan,478070
2017,May,Afghanistan,97706
2017,May,Azerbaijan,16200
2017,May,Kazakhstan,599900
2017,May,Kyrgyzstan,28715
2017,May,Russia,232900
2017,May,Tajikistan,49453
2017,May,Uzbekistan,235000
2015,Jul,Afghanistan,117
2015,Jul,Azerbaijan,8382
2015,Jul,Georgia,13502
2015,Jul,Kazakhstan,829860
2015,Jul,Kyrgyzstan,1690
2015,Jul,Russia,264180
2015,Jul,Tajikistan,3840
2015,Jul,Uzbekistan,19207
2016,Apr,Kazakhstan,53700
2016,Apr,Kyrgyzstan,16667
2016,Apr,Russia,2010
2016,Apr,Tajikistan,24251
2016,Apr,Turkmenistan,26124
2016,Apr,Uzbekistan,59000
2014,Mar,Afghanistan,500
2017,Apr,Kazakhstan,153630
2017,Apr,Kyrgyzstan,19800
2017,Apr,Russia,500
2017,Apr,Tajikistan,23193
2017,Apr,Turkmenistan,26723
2014,Jul,Afghanistan,6108
2014,Jul,Armenia,1000
2014,Jul,Azerbaijan,200
2014,Jul,Georgia,10140
2014,Jul,Kazakhstan,650000
2014,Jul,Russia,308200
2014,Jul,Tajikistan,4717
2014,Jul,Uzbekistan,14246
2016,May,Afghanistan,52182
2016,May,Azerbaijan,8630
2016,May,Georgia,330
2016,May,Kazakhstan,147480
2016,May,Kyrgyzstan,16504
2016,May,Russia,116580
2016,May,Tajikistan,39357
2016,May,Uzbekistan,147000
2014,May,Afghanistan,44361
2014,May,Azerbaijan,48800
2014,May,Georgia,13298
2014,May,Kazakhstan,855700
2014,May,Kyrgyzstan,31595
2014,May,Russia,16100
2014,May,Tajikistan,45475
2014,May,Uzbekistan,217000
2016,Jul,Azerbaijan,16592
2016,Jul,Kazakhstan,325500
2016,Jul,Russia,138274
2015,Apr,Tajikistan,19144
2015,Apr,Uzbekistan,45181
2021,Aug,Afghanistan,0
2021,Aug,Armenia,0
2021,Aug,Azerbaijan,1990.5
2021,Aug,Georgia,10965
2021,Aug,Kazakhstan,200
2021,Aug,Kyrgyzstan,6117
2021,Aug,Russia,4000
2021,Aug,Tajikistan,1361
2021,Aug,Turkmenistan,0
2021,Aug,Uzbekistan,0
2017,Mar,Turkmenistan,152
2016,Mar,Kyrgyzstan,100
2016,Mar,Tajikistan,5814
2016,Mar,Turkmenistan,7569
2016,Mar,Uzbekistan,6000
2020,Aug,Afghanistan,0
2020,Aug,Armenia,100
2020,Aug,Azerbaijan,704
2020,Aug,Georgia,8640
2020,Aug,Kazakhstan,0
2020,Aug,Kyrgyzstan,11000
2020,Aug,Russia,10350
2020,Aug,Tajikistan,0
2020,Aug,Turkmenistan,0
2020,Aug,Uzbekistan,0
2014,Apr,Afghanistan,52715
2014,Apr,Azerbaijan,30000
2014,Apr,Kyrgyzstan,9600
2014,Apr,Uzbekistan,43154
2015,May,Afghanistan,54842
2015,May,Georgia,340
2015,May,Kazakhstan,257700
2015,May,Kyrgyzstan,49769
2015,May,Russia,1700
2015,May,Tajikistan,63250
2015,May,Uzbekistan,246145
2011,May,Azerbaijan,2200
2011,May,Kazakhstan,426770
2011,May,Kyrgyzstan,29000
2011,May,Russia,34500
2011,May,Tajikistan,114276
2011,May,Uzbekistan,320000
2013,Jul,Afghanistan,58065
2013,Jul,Armenia,200
2013,Jul,Azerbaijan,13341
2013,Jul,Georgia,12204
2013,Jul,Kazakhstan,3320145
2013,Jul,Kyrgyzstan,18402
2013,Jul,Russia,959700
2013,Jul,Tajikistan,18595
2013,Jul,Uzbekistan,185000
2010,Apr,Georgia,5
2010,Apr,Kazakhstan,54600
2010,Apr,Tajikistan,36000
2010,Apr,Uzbekistan,277000
2018,Aug,Kyrgyzstan,2570
2018,Aug,Russia,25190
2019,Aug,Russia,20280
2011,Apr,Kazakhstan,49200
2011,Apr,Kyrgyzstan,29000
2011,Apr,Tajikistan,81770
2011,Apr,Uzbekistan,320000
2012,Jul,Armenia,60
2012,Jul,Georgia,100
2012,Jul,Kyrgyzstan,9874
2012,Jul,Russia,1615720
2012,Jul,Tajikistan,876
2012,Jul,Uzbekistan,1682
2010,May,Azerbaijan,1320
2010,May,Georgia,14500
2010,May,Kazakhstan,334620
2010,May,Kyrgyzstan,34334
2010,May,Tajikistan,13000
2010,May,Turkmenistan,103500
2010,May,Uzbekistan,61900
2012,May,Afghanistan,60120
2012,May,Azerbaijan,40000
2012,May,Georgia,2912
2012,May,Kyrgyzstan,9220
2012,May,Russia,428400
2012,May,Tajikistan,39404
2012,May,Uzbekistan,136000
2010,Jul,Georgia,3000
2010,Jul,Kyrgyzstan,20482
2010,Jul,Tajikistan,2352
2010,Jul,Turkmenistan,85250
2013,Apr,Russia,600
2010,Mar,Tajikistan,2860
2010,Mar,Turkmenistan,40000
2010,Mar,Uzbekistan,10000
2012,Apr,Afghanistan,80510
2012,Apr,Tajikistan,11007
2012,Apr,Uzbekistan,36000
2011,Jul,Afghanistan,240028
2011,Jul,Armenia,1800
2011,Jul,Kyrgyzstan,61436
2011,Jul,Russia,1139600
2011,Jul,Tajikistan,137518
2011,Jul,Uzbekistan,448000
